"doc_id","morpheme_analysis"
"doc77699271","In/SL order/SL to/SL narrow/SL the/SL educational/SL gap/SL in/SL school/SL ,/SP the/SL educational/SL needs/SL of/SL middle/SL school/SL underachieving/SL English/SL language/SL learners/SL (/SSO U/SL -/SO ELLs/SL )/SSC were/SL investigated/SL to/SL improve/SL the/SL curriculum/SL of/SL a/SL course/SL of/SL ""/SSO Understanding/SL and/SL Guiding/SL of/SL Underachieving/SL English/SL language/SL Learners/SL ""/SSC in/SL a/SL college/SL of/SL educat/SL ion./SL During/SL November/SL and/SL December/SL ,/SP 2022/SN ,/SP the/SL survey/SL of/SL this/SL study/SL was/SL conducted/SL via/SL online/SL for/SL ELL/SL students/SL in/SL low/SL -/SO level/SL classes/SL at/SL a/SL middle/SL sch/SL ool./SL The/SL final/SL 15/SN questions/SL were/SL designed/SL with/SL 14/SN questions/SL (/SSO on/SL a/SL 5/SN -/SO point/SL Likert/SL scale/SL )/SSC in/SL 7/SN areas/SL about/SL English/SL learning/SL and/SL 1/SN question/SL about/SL student/SL ’/SSC s/SL gr/SL ade./SL The/SL responses/SL showed/SL that/SL 32/SN ELLs/SL wanted/SL to/SL learn/SL 1/SN )/SSC pronunciation/SL of/SL unfamiliar/SL words/SL ,/SP 2/SN )/SSC complex/SL and/SL long/SL English/SL phrases/SL with/SL more/SL than/SL four/SL words/SL ,/SP and/SL 3/SN )/SSC short/SL and/SL simple/SL English/SL senten/SL ces./SL Meanwhile/SL ,/SP 1/SN st/SL grade/SL ELLs/SL were/SL not/SL interested/SL in/SL learning/SL English/SL alphabet/SL writing/SL and/SL the/SL correspondence/SL between/SL English/SL alphabets/SL and/SL sou/SL nds./SL 2/SN nd/SL and/SL 3/SN rd/SL grade/SL ELLs/SL were/SL not/SL interested/SL in/SL learning/SL English/SL alphabet/SL writing/SL ,/SP British/SL and/SL American/SL cultures/SL ,/SP and/SL TEE./SL The/SL participating/SL ELLs/SL did/SL not/SL want/SL to/SL learn/SL English/SL alphabet/SL writing/SL ,/SP but/SL 23.5/SN ∼/SO 33.3/SN %/SW of/SL the/SL respondents/SL wanted/SL to/SL learn/SL English/SL alphabets/SL ,/SP which/SL seems/SL that/SL pre/SL -/SO service/SL teachers/SL should/SL be/SL prepared/SL to/SL teach/SL U/SL -/SO ELLs/SL with/SL customized/SL pedag/SL ogy./SL Finally/SL ,/SP the/SL researchers/SL suggested/SL how/SL to/SL improve/SL pre/SL -/SO service/SL teacher/SL eduction/SL and/SL added/SL the/SL study/SL limita/SL tions./SL"
"doc80424022","Dynamic/SL assessment/SL is/SL the/SL process/SL of/SL identifying/SL qualitative/SL characteristics/SL such/SL as/SL children/SL ’/SSC s/SL learning/SL capabilities/SL and/SL potentials/SL ,/SP focusing/SL on/SL the/SL process/SL rather/SL than/SL the/SL quantitative/SL outcome/SL of/SL learn/SL ing./SL It/SL is/SL also/SL differentiated/SL from/SL static/SL evaluation/SL in/SL that/SL it/SL proceeds/SL in/SL multiple/SL stages/SL to/SL observe/SL learning/SL process/SL and/SL strateg/SL ies./SL This/SL study/SL provides/SL a/SL short/SL -/SO term/SL word/SL definition/SL learning/SL experience/SL as/SL a/SL mediated/SL learning/SL intervention/SL in/SL the/SL dynamic/SL assessment/SL process/SL of/SL test/SL -/SO teach/SL -/SO retest/SL to/SL identify/SL differences/SL and/SL characteristics/SL between/SL normal/SL children/SL and/SL children/SL with/SL poor/SL reading/SL ski/SL lls./SL A/SL total/SL of/SL 20/SN first/SL and/SL second/SL graders/SL participated/SL in/SL this/SL study/SL :/SP 10/SN typically/SL developing/SL children/SL and/SL 10/SN poor/SL read/SL ers./SL Children/SL took/SL part/SL in/SL a/SL dynamic/SL assessment/SL task/SL of/SL word/SL definition/SL learning/SL that/SL consisted/SL of/SL a/SL test/SL -/SO mediated/SL learning/SL experience/SL -/SO retest/SL t/SL ask./SL Results/SL indicated/SL that/SL poor/SL readers/SL made/SL significantly/SL lower/SL scores/SL in/SL retest/SL and/SL modifiability/SL sca/SL les./SL Dynamic/SL assessment/SL and/SL modifiability/SL scales/SL showed/SL potential/SL as/SL tools/SL that/SL inform/SL the/SL qualitative/SL informat/SL ion./SL Then/SL ,/SP the/SL limitations/SL of/SL the/SL study/SL and/SL suggestions/SL for/SL follow/SL -/SO up/SL studies/SL were/SL disc/SL ussed./SL"
"doc96896848","The/SL purpose/SL of/SL this/SL study/SL is/SL to/SL explore/SL the/SL peak/SL experience/SL of/SL teachers/SL who/SL teach/SL students/SL with/SL reading/SL difficult/SL ies./SL In/SL -/SO depth/SL interviews/SL were/SL conducted/SL with/SL 10/SN teachers/SL who/SL taught/SL students/SL with/SL reading/SL difficulties/SL from/SL September/SL to/SL December/SL 2021./SN The/SL interview/SL was/SL conducted/SL by/SL one/SL -/SO on/SL -/SO one/SL online/SL meeting/SL in/SL January/SL 2022/SN ,/SP and/SL the/SL collected/SL data/SL were/SL transcribed/SL and/SL analyzed/SL using/SL a/SL continuous/SL comparison/SL met/SL hod./SL As/SL a/SL result/SL of/SL the/SL study/SL ,/SP 81/SN concepts/SL ,/SP 10/SN subcategories/SL ,/SP and/SL 4/SN categories/SL were/SL derived/SL ,/SP and/SL the/SL categories/SL were/SL '/SS aspects/SL of/SL peak/SL experience/SL ’/SSC ,/SP ‘/SSO peak/SL and/SL frustration/SL experience/SL among/SL related/SL people/SL ’/SSC ,/SP '/SSO the/SL result/SL of/SL peak/SL experience/SL '/SSC ,/SP and/SL '/SSO the/SL value/SL and/SL future/SL direction/SL of/SL the/SL individualized/SL intensive/SL intervention/SL '/SSC ./SF According/SL to/SL the/SL results/SL ,/SP the/SL possibility/SL of/SL peak/SL experience/SL increased/SL in/SL the/SL second/SL half/SL of/SL the/SL intervention/SL ,/SP and/SL the/SL peak/SL experience/SL of/SL individualized/SL intensive/SL intervention/SL was/SL different/SL from/SL that/SL of/SL the/SL cl/SL ass./SL The/SL subjects/SL of/SL the/SL peak/SL experience/SL were/SL students/SL ,/SP homeroom/SL teachers/SL ,/SP and/SL parents/SL ,/SP and/SL among/SL them/SL ,/SP the/SL peak/SL experience/SL with/SL students/SL resulted/SL in/SL student/SL achievement/SL and/SL changes/SL in/SL the/SL attitudes/SL of/SL students/SL and/SL teach/SL ers./SL The/SL teacher/SL realized/SL the/SL true/SL value/SL of/SL intensive/SL reading/SL intervention/SL through/SL the/SL peak/SL experience/SL and/SL suggested/SL opinions/SL on/SL effective/SL ways/SL for/SL the/SL peak/SL experie/SL nce./SL Based/SL on/SL the/SL results/SL ,/SP this/SL study/SL discussed/SL ways/SL of/SL teacher/SL support/SL and/SL intensive/SL interve/SL ntion./SL"
"doc75797475","This/SL study/SL analyzed/SL Korean/SL studies/SL up/SL to/SL August/SL 2023/SN to/SL suggest/SL the/SL direction/SL of/SL future/SL research/SL on/SL basic/SL academic/SL abilities/SL in/SL mathemat/SL ics./SL For/SL this/SL purpose/SL ,/SP frequency/SL analysis/SL and/SL LDA/SL -/SO based/SL topic/SL modeling/SL were/SL conducted/SL on/SL the/SL Korean/SL abstracts/SL of/SL 197/SN domestic/SL stud/SL ies./SL The/SL results/SL showed/SL that/SL ,/SP first/SL ,/SP '/SSO academic/SL achievement/SL '/SSC ,/SP '/SSO impact/SL '/SSC ,/SP '/SSO effect/SL '/SSC ,/SP and/SL '/SSO factors/SL '/SSC were/SL all/SL ranked/SL at/SL the/SL top/SL of/SL the/SL TFs/SL and/SL TF/SL -/SO IDFs./SL Second/SL ,/SP as/SL a/SL result/SL of/SL LDA/SL -/SO based/SL topic/SL modeling/SL ,/SP five/SL topics/SL were/SL identified/SL :/SP causes/SL of/SL basic/SL academic/SL abilities/SL deficiency/SL ,/SP learning/SL status/SL of/SL math/SL underachievers/SL ,/SP teacher/SL expertise/SL in/SL teaching/SL math/SL underachievers/SL ,/SP supporting/SL programs/SL for/SL math/SL underachievers/SL ,/SP and/SL results/SL of/SL National/SL Assessment/SL of/SL Educational/SL Achievem/SL ent./SL As/SL a/SL direction/SL for/SL future/SL research/SL ,/SP this/SL study/SL suggests/SL focusing/SL on/SL the/SL growth/SL of/SL math/SL underachievers/SL ,/SP systematizing/SL the/SL programs/SL provided/SL to/SL students/SL who/SL need/SL learning/SL support/SL in/SL mathematics/SL ,/SP and/SL developing/SL teacher/SL expertise/SL in/SL teaching/SL math/SL underachi/SL evers./SL"
"doc91668323","The/SL purpose/SL of/SL this/SL study/SL was/SL to/SL analyze/SL the/SL factors/SL affecting/SL learning/SL and/SL social/SL difficulties/SL in/SL elementary/SL school/SL students/SL and/SL to/SL reveal/SL the/SL importance/SL of/SL childhood/SL psychological/SL safety/SL according/SL to/SL parental/SL relationsh/SL ips./SL In/SL the/SL safety/SL perception/SL survey/SL of/SL elementary/SL school/SL parents/SL in/SL Ward/SL I/SL ,/SP this/SL study/SL analyzed/SL psychological/SL safety/SL in/SL terms/SL of/SL subjective/SL health/SL ,/SP personality/SL traits/SL ,/SP interpersonal/SL relationships/SL ,/SP and/SL emotional/SL and/SL behavioral/SL characteristics/SL ,/SP and/SL the/SL influence/SL of/SL school/SL violence/SL victimization/SL and/SL parental/SL relationship/SL on/SL learning/SL and/SL social/SL difficult/SL ies./SL The/SL data/SL were/SL analyzed/SL using/SL t/SL -/SO test/SL and/SL ANOVA/SL to/SL test/SL for/SL differences/SL in/SL general/SL characterist/SL ics./SL Multiple/SL regression/SL analysis/SL was/SL used/SL to/SL analyze/SL the/SL influencing/SL factors/SL of/SL learning/SL and/SL social/SL difficulties/SL and/SL logistic/SL regression/SL analysis/SL was/SL used/SL to/SL analyze/SL the/SL risk/SL of/SL learning/SL and/SL social/SL difficult/SL ies./SL The/SL results/SL of/SL the/SL analysis/SL showed/SL that/SL ,/SP first/SL ,/SP girls/SL '/SS irritability/SL and/SL rebelliousness/SL were/SL higher/SL ,/SP 6/SN th/SL graders/SL '/SS openness/SL was/SL lower/SL ,/SP parents/SL '/SS higher/SL education/SL was/SL associated/SL with/SL higher/SL subjective/SL health/SL and/SL perceived/SL victimization/SL of/SL school/SL violence/SL ,/SP and/SL the/SL income/SL level/SL of/SL 3/SN million/SL won/SL per/SL month/SL was/SL associated/SL with/SL higher/SL risk/SL of/SL learning/SL and/SL social/SL difficult/SL ies./SL Second/SL ,/SP the/SL influencing/SL factors/SL of/SL poor/SL learning/SL and/SL social/SL skills/SL were/SL anxiety/SL and/SL depression/SL and/SL experience/SL of/SL bullying/SL victimization/SL in/SL a/SL positive/SL relationship/SL ,/SP and/SL concentration/SL and/SL anxiety/SL and/SL depression/SL in/SL a/SL negative/SL relations/SL hip./SL Third/SL ,/SP social/SL initiative/SL ,/SP anxiety/SL and/SL depression/SL ,/SP poor/SL concentration/SL ,/SP income/SL level/SL ,/SP understanding/SL of/SL others/SL ,/SP and/SL sense/SL of/SL community/SL were/SL significantly/SL associated/SL with/SL the/SL risk/SL of/SL poor/SL learning/SL and/SL social/SL ski/SL lls./SL Poor/SL learning/SL and/SL social/SL skills/SL in/SL children/SL are/SL highly/SL correlated/SL with/SL anxiety/SL ,/SP depression/SL ,/SP and/SL difficulty/SL concentrating/SL ,/SP and/SL are/SL strongly/SL influenced/SL by/SL negative/SL parental/SL relationsh/SL ips./SL Therefore/SL ,/SP positive/SL parental/SL relationships/SL and/SL a/SL sense/SL of/SL psychological/SL safety/SL are/SL important/SL for/SL improving/SL children/SL '/SS s/SL learning/SL and/SL social/SL s/SL kills./SL"
"doc05784516","The/SL purpose/SL of/SL this/SL study/SL is/SL to/SL explore/SL the/SL possibility/SL of/SL using/SL gaze/SL tracking/SL tests/SL as/SL a/SL way/SL to/SL identify/SL the/SL needs/SL of/SL screening/SL and/SL reading/SL support/SL for/SL children/SL with/SL reading/SL difficulties/SL by/SL classifying/SL into/SL detailed/SL groups/SL and/SL examining/SL the/SL characteristics/SL of/SL gaze/SL tracking/SL by/SL gro/SL ups./SL To/SL solve/SL the/SL research/SL question/SL ,/SP 70/SN children/SL with/SL reading/SL difficulties/SL ,/SP corresponding/SL to/SL the/SL 3/SN rd/SL to/SL 5/SN th/SL grades/SL in/SL S/SL city/SL ,/SP were/SL selected/SL as/SL the/SL objects/SL of/SL this/SL st/SL udy./SL Afterwards/SL ,/SP the/SL differences/SL between/SL groups/SL were/SL explored/SL through/SL the/SL gaze/SL tracking/SL variables/SL in/SL the/SL process/SL of/SL reading/SL aloud/SL flency/SL test/SL and/SL the/SL characteristics/SL were/SL identified/SL through/SL gaze/SL path/SL analysis/SL in/SL the/SL process/SL of/SL the/SL reading/SL comprehension/SL t/SL est./SL As/SL a/SL result/SL ,/SP they/SL were/SL classified/SL as/SL three/SL groups/SL with/SL significant/SL differences/SL according/SL to/SL reading/SL -/SO related/SL variab/SL les./SL The/SL groups/SL were/SL named/SL ‘/SSO Fluency/SL Support/SL Required/SL Group/SL ’/SSC ,/SP ‘/SSO Functional/SL Reading/SL Support/SL Required/SL Group/SL ’/SSC ,/SP and/SL ‘/SSO Vocabulary/SL Support/SL Required/SL Group/SL ’/SSC ./SF In/SL the/SL reading/SL fluency/SL test/SL ,/SP average/SL fixation/SL time/SL ,/SP mean/SL regression/SL time/SL ,/SP and/SL time/SL until/SL the/SL first/SL fixation/SL were/SL found/SL to/SL be/SL significant/SL predictive/SL indicat/SL ors./SL And/SL in/SL the/SL reading/SL comprehension/SL test/SL ,/SP the/SL ‘/SSO vocabulary/SL support/SL request/SL group/SL ’/SSC showed/SL more/SL actively/SL participaing/SL in/SL reading/SL than/SL the/SL ‘/SSO functional/SL reading/SL support/SL request/SL group/SL ’/SSC ./SF Based/SL on/SL these/SL results/SL ,/SP educational/SL implications/SL and/SL suggestions/SL for/SL follow/SL -/SO up/SL studies/SL were/SL disc/SL ussed./SL"
"doc51733066","This/SL action/SL research/SL aimed/SL to/SL investigate/SL the/SL challenges/SL faced/SL by/SL underachieving/SL English/SL learners/SL in/SL elementary/SL schools/SL and/SL to/SL demonstrate/SL the/SL effectiveness/SL and/SL necessity/SL of/SL phonics/SL in/SL English/SL reading/SL instructi/SL ons./SL The/SL study/SL provides/SL case/SL studies/SL of/SL two/SL fifth/SL -/SO grade/SL students/SL who/SL struggled/SL with/SL English/SL learning/SL and/SL had/SL low/SL motivat/SL ion./SL Data/SL collection/SL was/SL conducted/SL through/SL 24/SN instructional/SL sessions/SL involving/SL teaching/SL phonics/SL and/SL sight/SL wo/SL rds./SL Data/SL from/SL semi/SL -/SO structured/SL interviews/SL and/SL classroom/SL observations/SL were/SL collected/SL inductively/SL based/SL on/SL grounded/SL the/SL ory./SL The/SL findings/SL showed/SL that/SL students/SL faced/SL difficulties/SL in/SL identifying/SL alphabet/SL letters/SL and/SL understanding/SL phon/SL ics./SL These/SL challenges/SL led/SL to/SL a/SL negative/SL perception/SL of/SL learning/SL English/SL ,/SP further/SL intensifying/SL their/SL learning/SL difficult/SL ies./SL However/SL ,/SP improvements/SL in/SL either/SL the/SL cognitive/SL or/SL affective/SL aspects/SL of/SL learning/SL led/SL to/SL a/SL complementary/SL relations/SL hip./SL This/SL paper/SL concludes/SL by/SL summarizing/SL the/SL two/SL cases/SL and/SL asserting/SL the/SL need/SL for/SL early/SL diagnosis/SL of/SL fundamental/SL reading/SL skills/SL and/SL individualized/SL intensive/SL guidance/SL to/SL teach/SL underachieving/SL stude/SL nts./SL In/SL addition/SL ,/SP continuous/SL observation/SL of/SL the/SL learning/SL process/SL and/SL increasing/SL students/SL '/SS interest/SL and/SL confidence/SL to/SL lower/SL the/SL affective/SL filter/SL are/SL nee/SL ded./SL This/SL paper/SL emphasizes/SL the/SL importance/SL of/SL teaching/SL and/SL learning/SL strategies/SL ,/SP as/SL well/SL as/SL the/SL roles/SL of/SL teachers/SL and/SL other/SL surrounding/SL environments/SL of/SL students/SL in/SL preventing/SL the/SL proliferation/SL of/SL underachievers/SL in/SL elementary/SL English/SL cl/SL asses./SL"
"doc36964512","This/SL study/SL aims/SL to/SL explore/SL the/SL use/SL of/SL Artificial/SL Intelligence/SL (/SSO AI/SL )/SSC to/SL support/SL struggling/SL young/SL learners/SL and/SL provide/SL insights/SL for/SL applying/SL AI/SL to/SL teaching/SL and/SL learning/SL English/SL in/SL the/SL primary/SL classr/SL oom./SL AI/SL is/SL suggested/SL to/SL be/SL an/SL innovative/SL technology/SL that/SL will/SL shape/SL the/SL future/SL of/SL educat/SL ion./SL Special/SL attention/SL is/SL paid/SL to/SL how/SL the/SL future/SL of/SL education/SL can/SL be/SL unveiled/SL in/SL real/SL classrooms/SL that/SL adopt/SL AI/SL and/SL how/SL teachers/SL and/SL students/SL can/SL benefit/SL from/SL it./SL The/SL participants/SL of/SL this/SL study/SL were/SL three/SL pupils/SL with/SL learning/SL difficulty/SL ,/SP a/SL homeroom/SL teacher/SL ,/SP two/SL English/SL subject/SL teachers/SL ,/SP and/SL two/SL external/SL expe/SL rts./SL Data/SL was/SL collected/SL via/SL Q/SL -/SO sort/SL ,/SP classroom/SL observations/SL ,/SP interviews/SL with/SL the/SL participating/SL students/SL ,/SP a/SL diagnostic/SL test/SL ,/SP a/SL sentence/SL completion/SL test/SL ,/SP student/SL performance/SL ,/SP and/SL a/SL research/SL log./SL The/SL triangulated/SL analysis/SL of/SL the/SL collected/SL data/SL revealed/SL that/SL the/SL students/SL heavily/SL relied/SL on/SL AI/SL in/SL the/SL beginning/SL ,/SP then/SL gradually/SL developed/SL their/SL routines/SL with/SL AI/SL use/SL ,/SP and/SL finally/SL used/SL it/SL less/SL ,/SP which/SL gave/SL them/SL a/SL sense/SL of/SL independe/SL nce./SL It/SL is/SL further/SL shown/SL that/SL AI/SL relieved/SL the/SL anxiety/SL of/SL the/SL low/SL -/SO achieving/SL English/SL learners/SL and/SL gave/SL them/SL confidence/SL by/SL providing/SL them/SL with/SL options/SL when/SL faced/SL with/SL difficulties/SL in/SL class./SL These/SL findings/SL provide/SL insights/SL for/SL understanding/SL the/SL directions/SL of/SL AI/SL applications/SL in/SL English/SL learning/SL and/SL teaching/SL ,/SP leading/SL to/SL support/SL for/SL low/SL -/SO achieving/SL pupils/SL ’/SSC learning/SL and/SL policy/SL for/SL basic/SL education/SL guar/SL antee./SL"
"doc00027341_101","This/SL study/SL aimed/SL to/SL analyze/SL the/SL scope/SL ,/SP proficiency/SL levels/SL ,/SP and/SL skill/SL sets/SL of/SL the/SL artificial/SL intelligence/SL (/SSO AI/SL )/SSC field/SL within/SL K/SL -/SO Digital/SL Credit/SL (/SSO KDC/SL )/SSC and/SL to/SL analyze/SL the/SL current/SL state/SL of/SL its/SL linkage/SL with/SL other/SL Ministry/SL of/SL Employment/SL and/SL Labor/SL initiatives/SL ,/SP namely/SL K/SL -/SO Digital/SL Training/SL (/SSO KDT/SL )/SSC and/SL the/SL Smart/SL Training/SL Education/SL Platform/SL (/SSO STEP/SL )/SSC ./SF To/SL achieve/SL these/SL objectives/SL ,/SP the/SL study/SL employed/SL various/SL research/SL methods/SL ,/SP including/SL a/SL literature/SL review/SL ,/SP expert/SL workshops/SL ,/SP surveys/SL ,/SP training/SL course/SL mapping/SL for/SL educational/SL institutions/SL ,/SP expert/SL content/SL validity/SL assessments/SL ,/SP and/SL data/SL visualizat/SL ion./SL The/SL findings/SL indicate/SL that/SL the/SL field/SL of/SL AI/SL is/SL categorized/SL into/SL basic/SL and/SL advanced/SL levels/SL ,/SP with/SL six/SL areas/SL identified/SL :/SP AI/SL service/SL planning/SL ,/SP AI/SL platform/SL development/SL ,/SP AI/SL learning/SL data/SL construction/SL ,/SP AI/SL model/SL implementation/SL ,/SP and/SL AI/SL service/SL operation/SL managem/SL ent./SL Furthermore/SL ,/SP an/SL analysis/SL of/SL the/SL linkage/SL between/SL KDC/SL and/SL other/SL programs/SL in/SL the/SL AI/SL field/SL revealed/SL strong/SL vertical/SL and/SL vertical/SL -/SO horizontal/SL integration/SL ,/SP whereas/SL horizontal/SL linkage/SL remains/SL relatively/SL w/SL eak./SL This/SL study/SL is/SL expected/SL to/SL contribute/SL to/SL strengthening/SL the/SL coordination/SL and/SL effectiveness/SL of/SL KDC/SL and/SL similar/SL projects/SL such/SL as/SL KDT/SL and/SL STEP./SL"
"doc14151408_102","[/SSO Purpose/SL ]/SSC This/SL study/SL aimed/SL to/SL examine/SL the/SL instructional/SL effects/SL of/SL the/SL Basic/SL Learning/SL Support/SL Team/SL ,/SP which/SL operates/SL with/SL the/SL goal/SL of/SL supporting/SL reading/SL development/SL in/SL underachieving/SL stude/SL nts./SL It/SL also/SL explored/SL potential/SL differences/SL in/SL outcomes/SL based/SL on/SL grade/SL level/SL and/SL gen/SL der./SL [/SSO Methods/SL ]/SSC The/SL study/SL involved/SL 164/SN underachieving/SL students/SL from/SL grades/SL 1/SN through/SL 5/SN in/SL elementary/SL sch/SL ool./SL Reading/SL proficiency/SL was/SL assessed/SL using/SL the/SL Korean/SL Literacy/SL Proficiency/SL Test/SL before/SL and/SL after/SL the/SL intervent/SL ion./SL Data/SL analysis/SL included/SL paired/SL sample/SL t/SL -/SO tests/SL ,/SP independent/SL sample/SL t/SL -/SO tests/SL ,/SP and/SL one/SL -/SO way/SL ANOVA./SL [/SSO Results/SL ]/SSC First/SL ,/SP comparisons/SL of/SL mean/SL scores/SL before/SL and/SL after/SL instruction/SL showed/SL improvements/SL across/SL all/SL subcategories/SL of/SL Korean/SL literacy/SL ,/SP suggesting/SL a/SL potential/SL positive/SL effect/SL of/SL the/SL support/SL provided/SL by/SL the/SL Basic/SL Learning/SL Support/SL Team./SL Second/SL ,/SP by/SL grade/SL level/SL ,/SP students/SL in/SL grades/SL 1/SN through/SL 4/SN showed/SL statistically/SL significant/SL gains/SL ,/SP while/SL changes/SL in/SL grade/SL 5/SN were/SL mini/SL mal./SL Third/SL ,/SP in/SL the/SL gender/SL -/SO based/SL analysis/SL ,/SP female/SL students/SL showed/SL greater/SL improvement/SL than/SL male/SL students/SL in/SL the/SL vowel/SL category/SL ,/SP although/SL no/SL significant/SL gender/SL differences/SL were/SL found/SL in/SL other/SL ar/SL eas./SL [/SSO Conclusion/SL ]/SSC The/SL results/SL indicate/SL that/SL the/SL instruction/SL delivered/SL by/SL the/SL Basic/SL Learning/SL Support/SL Team/SL may/SL have/SL a/SL beneficial/SL impact/SL on/SL the/SL reading/SL abilities/SL of/SL underachieving/SL stude/SL nts./SL However/SL ,/SP limitations/SL exist/SL in/SL drawing/SL generalized/SL conclusi/SL ons./SL In/SL particular/SL ,/SP greater/SL improvements/SL among/SL students/SL in/SL grades/SL 1/SN to/SL 4/SN suggest/SL that/SL the/SL intervention/SL may/SL be/SL more/SL effective/SL at/SL lower/SL grade/SL l/SL evels./SL"
"doc89716681_103","This/SL study/SL proposes/SL an/SL AI/SL -/SO based/SL integrated/SL framework/SL to/SL predict/SL university/SL students/SL ’/SSC academic/SL performance/SL and/SL providepersonalized/SL learning/SL supp/SL ort./SL Utilizing/SL log/SL data/SL from/SL Canvas/SL LMS/SL ,/SP a/SL widely/SL used/SL open/SL -/SO source/SL learning/SL management/SL system/SL in/SL educational/SL institutions/SL worldwide/SL ,/SP the/SL study/SL builds/SL prediction/SL models/SL based/SL on/SL machine/SL learning/SL and/SL deep/SL learning/SL techn/SL iques./SL Furthermore/SL ,/SP it/SL designs/SL a/SL hybrid/SL recommendation/SL system/SL that/SL combines/SL collaborative/SL filtering/SL and/SL content/SL -/SO based/SL filter/SL ing./SL Byanalyzing/SL learners/SL ’/SSC behavioral/SL data/SL ,/SP the/SL framework/SL enables/SL early/SL detection/SL of/SL academic/SL underperformance/SL and/SL provides/SL automatedfeedback/SL and/SL personalized/SL content/SL ,/SP facilitating/SL timely/SL teacher/SL intervention/SL and/SL promoting/SL self/SL -/SO directed/SL learn/SL ing./SL This/SL approach/SL canserve/SL as/SL a/SL practical/SL tool/SL to/SL enhance/SL personalized/SL support/SL in/SL actual/SL classroom/SL settings/SL and/SL help/SL reduce/SL academic/SL achievement/SL gaps./SL"
"doc58302307_104","Purpose/SL :/SP This/SL study/SL aimed/SL to/SL analyze/SL the/SL impact/SL of/SL Academic/SL Guarantee/SL Programs/SL ,/SP established/SL within/SL the/SL Multi/SL -/SO Learning/SL Safety/SL Net/SL ,/SP on/SL students/SL ’/SSC cognitive/SL compe/SL tence./SL Methods/SL :/SP This/SL study/SL used/SL data/SL from/SL the/SL 2023/SN Gyeonggi/SL School/SL Education/SL Survey/SL ,/SP which/SL included/SL data/SL from/SL elementary/SL school/SL students/SL ,/SP parents/SL ,/SP and/SL scho/SL ols./SL A/SL multilevel/SL model/SL was/SL employed/SL for/SL the/SL analysis/SL ,/SP incorporating/SL level/SL 1/SN (/SSO student/SL -/SO level/SL )/SSC and/SL level/SL 2/SN (/SSO school/SL -/SO level/SL )/SSC vari/SL ables./SL Results/SL :/SP First/SL ,/SP schools/SL implementing/SL the/SL Student/SL -/SO customized/SL Leading/SL School/SL program/SL in/SL the/SL first/SL tier/SL of/SL the/SL Multi/SL -/SO Learning/SL Safety/SL Net/SL showed/SL higher/SL levels/SL of/SL overall/SL student/SL cognitive/SL competence/SL compared/SL to/SL non/SL -/SO implementing/SL scho/SL ols./SL However/SL ,/SP this/SL statistical/SL significance/SL disappeared/SL when/SL focusing/SL on/SL the/SL group/SL of/SL students/SL at/SL substantial/SL risk/SL of/SL basic/SL academic/SL underachievement/SL ,/SP suggesting/SL that/SL the/SL program/SL may/SL have/SL been/SL insufficient/SL to/SL adequately/SL support/SL all/SL students/SL with/SL academic/SL difficult/SL ies./SL Schools/SL participating/SL in/SL the/SL Co/SL -/SO teaching/SL Support/SL Instructor/SL program/SL showed/SL lower/SL level/SL of/SL students/SL ’/SSC cognitive/SL competence/SL than/SL those/SL in/SL non/SL -/SO participating/SL scho/SL ols./SL Second/SL ,/SP students/SL in/SL schools/SL operating/SL the/SL Do/SL -/SO Dream/SL program/SL ,/SP which/SL is/SL part/SL of/SL the/SL second/SL tier/SL of/SL the/SL Multi/SL -/SO Learning/SL Safety/SL Net/SL ,/SP showed/SL lower/SL cognitive/SL competence/SL compared/SL to/SL those/SL in/SL non/SL -/SO participating/SL scho/SL ols./SL This/SL result/SL suggests/SL that/SL the/SL program/SL may/SL have/SL encountered/SL challenges/SL or/SL difficulties/SL during/SL its/SL implement/SL ation./SL Conclusion/SL :/SP It/SL is/SL necessary/SL to/SL move/SL beyond/SL the/SL mere/SL establishment/SL of/SL the/SL Multi/SL -/SO Learning/SL Safety/SL Net/SL for/SL basic/SL academic/SL skills/SL ,/SP and/SL instead/SL build/SL a/SL more/SL tightly/SL knit/SL system/SL by/SL deploying/SL professional/SL personnel/SL into/SL tiered/SL progr/SL ams./SL To/SL provide/SL effective/SL support/SL for/SL students/SL with/SL a/SL high/SL likelihood/SL of/SL learning/SL difficulties/SL ,/SP it/SL is/SL essential/SL to/SL evaluate/SL the/SL effectiveness/SL of/SL basic/SL academic/SL skills/SL pro/SL grams./SL"
