"doc_id","main_topic","main_topic_prob","논문명","저자명","pub_year","KCI 등재 구분","주제분야"
"ART002831720",1,77,"청소년의 부모 애착이 비자살적 자해에 미치는 영향: 자아존중감과 고통감내력의 매개효과","홍미애;박승민",2022,"등재","기타사회과학"
"ART002852050",1,78,"자해 관련 자기개방 내용에 따른 공감 반응 차이: 온라인 고민상담 사이트를 중심으로","이동귀;오현주;김서영",2022,"등재","심리과학"
"ART002852749",1,79,"청소년의 자해행동에서 자살 의도 유무에 따른 집단간 심리특성 차이와 예측변수 탐색","진선주",2022,"등재","특수교육"
"ART002858678",1,80,"비자살성 자해(NSSI)에 대한 학교상담에서의 개입","류신혜;임우영;배승민;전진용",2022,"등재","정신신체의학/자문조정정신의학"
"ART002866282",1,81,"청소년의 자아분화가 비자살적 자해행동에 미치는 영향과 초기부적응도식의 매개효과","정유경;유계숙",2022,"등재","기타사회과학"
"ART002867625",1,82,"보호관찰 청소년의 SNS중독경향성이 비자살적 자해에 미치는 영향: 부정긴급성의 매개효과를 중심으로","김은이;이지선;김정민",2022,"등재","기타사회과학"
"ART002885974",1,83,"비자살적 자해의 기능에 따른 청소년 임상군의 심리적 특성","고나경;오수정",2022,"등재","기타사회과학"
"ART002889892",1,84,"청소년 비자살적 자해(NSSI) 과정과 멈춤 경험에 관한 연구","서선미",2022,"등재","사회복지교육"
"ART002891759",1,85,"정신건강사회복지 전문가의 비대면 정신건강 모바일 서비스 플랫폼 개발 및 상담 경험에 관한 자문화기술지","이솔지",2022,"등재","인터넷정보처리"
"ART002904302",1,86,"국친사상의 변화와 소년법 보호처분절차의 개선방향","제철웅",2022,"등재","법학"
"ART002906978",1,87,"청소년의 비자살적 자해경험에 대한 질적 메타연구","백연우;유지영;전화연",2022,"등재","기타사회과학"
"ART002908407",1,88,"일반계 여고를 졸업한 청소년의 비자살적 자해경험에 대한 내러티브 탐구","임경문;이윤주",2022,"등재","기타사회과학"
"ART002911294",1,89,"자살성 사건을 경험한 청소년의 Sandplay Therapy(SPT) 임상효과","안운경;곽현정",2022,"등재후보","상담심리/심리치료"
"ART002930194",1,90,"청소년의 유년기 무효화 환경이 비자살적 자해에 미치는 영향 간에 고통 감내력 부족과 비자살적 자해 결과기대의 이중매개 효과","송지숙;구본용",2023,"등재","교과교육학"
"ART002953873",1,91,"자해와 자살행동 메타분석 연구 개관: 생물심리사회모델에 따른 위험 및 보호요인을 중심으로","김성연;양모현;박효은;김지윤;이동훈",2023,"등재","교육상담"
"ART002958143",1,92,"청소년의 비자살적 자해에 관한 연구동향 -국내학술지 중심-","김정숙;홍상욱",2023,"등재","학제간연구"
"ART002958198",1,93,"발달장애 아동·청소년의 도전적 행동이 음악치료사의 심리적 소진에 미치는 영향: 자기 효능감과 소명의식 조절효과를 중심으로","최안나;황은영",2023,"등재","음악심리학/치료학"
"ART002962086",1,94,"청소년 자해, 자살 사고, 자살 시도 경험에 대한 질적 연구","박경은;이동훈",2023,"등재","심리과학"
"ART002966200",1,95,"고등학교 청소년들의 심리적 특성에 따른 비자살적 자해행동의 차이: 잠재 프로파일 분석을 중심으로","김명화;이창현",2023,"등재","심리과학"
"ART002971116",1,96,"청소년용 비자살적 자해 신념 척도의 개발 및 타당화","정미림;이영순",2023,"등재","심리과학"
"ART002980246",1,97,"키워드 네트워크 분석을 통해 살펴본 청소년 자해에 대한사회적 인식 연구","장벼리",2023,"등재후보","청소년학"
"ART002988636",1,98,"청소년이 지각하는 부모의 심리적 통제, 정서조절곤란, 비자살적 자해간의 관계에서 마음챙김의 조절된 매개효과","황수정;정현희",2023,"등재","기타사회과학"
"ART002988871",1,99,"토픽모델링을 활용한 ‘자해’관련 유튜브 댓글의 내용분석","권경인;신성미",2023,"등재","교과교육학"
"ART002990255",1,100,"청소년 자살의 보호요인에 관한 델파이 연구: 생물심리사회적 접근을 바탕으로","양모현;박효은;이주영;이동훈",2023,"등재","심리과학"
"ART002990604",1,101,"학교모래놀이 집단상담이 자해경험이 있는 초등학생의 자아개념, 자해 기능, 자살사고에 미치는 효과 예비연구","전문주;이호경;안운경",2023,"등재후보","상담심리/심리치료"
"ART002996105",1,102,"청소년 비자살적 자해 관련 질적연구 동향","정수연;이지연",2023,"등재","교과교육학"
"ART003005329",1,103,"비자살적 자해를 겪는 우울증 청소년의 미술치료 사례연구","강지연;김태은",2023,"등재","심리과학"
"ART003008354",1,104,"청소년의 또래관계스트레스와 비자살적자해의 관계: 적응적 인지적 정서조절에 의해 조절된 자기비난의 매개효과","박영순",2023,"등재","청소년복지"
"ART003016182",1,105,"위기청소년 지원기관 이용자의 자살 생각에 영향을 미치는 요인","윤소현",2023,"등재","기타사회과학"
"ART003030799",1,106,"정서 반응성이 청소년의 비자살적 자해동기에 미치는 영향: 부정 긴급성과 정서조절곤란의 이중매개효과","이현주;이영순",2023,"등재","심리과학"
"ART003031100",1,107,"내면화된 수치심, 고통감내력이 비자살적 자해에 미치는 영향: 회피-분산 정서조절양식의 조절된 매개효과","최미량;이자영",2023,"등재","교육상담"
"ART003042435",1,108,"심리 외상을 경험한 중도입국청소년의 위기 개입적 표현예술치료 사례연구","서현주",2023,"등재","특수교육"
"ART003043870",1,109,"아동기 애착 외상이 여자 청소년의 자해 경험에 미치는영향: 정신화 매개효과를 중심으로","최상순;권해수",2023,"등재","상담심리/심리치료"
"ART003053389",1,110,"청소년 비자살적 자해 치료 프로그램 개관","장선희;신효정",2024,"등재","심리과학"
"ART003066548",1,111,"청소년 정신건강 문제 유형화 연구: SDQ-Kr의 활용","김신아;강주연",2024,"등재","학제간연구"
"ART003070710",1,112,"비자살적 자해행동 청소년의 푸드아트테라피 사례","양정하;이미나",2024,"등재후보","청소년학"
"ART003072783",1,113,"비자살적 자해 여자 청소년 대상 상담경험에 관한 합의적 질적 연구: 학교 상담자의 경험을 중심으로","윤예진;박재연",2024,"등재","기타사회과학"
"ART003074608",1,114,"비자살적 자해 청소년 자녀를 둔 어머니의 경험에 관한 현상학적 연구","양은륜;정문경",2024,"등재","교육상담"
"ART003081877",1,115,"코로나19 상황 속 청소년의 지각된 스트레스와 비자살적 자해의 관계에서 가족관계와 자아존중감의 다중가산조절효과","김동현;서동현",2024,"등재","기타사회과학"
"ART003084205",1,116,"청소년의 비자살적 자해가 자살적 자해로 이행 및 중단된 경험에 대한 연구","박경은;이동훈",2024,"등재","심리과학"
"ART003084215",1,117,"다변량 분석방법을 이용한 청소년의 비자살적 자해사고 및 자해행동 예측","정미림;이상인;이영순;김종완",2024,"등재","심리과학"
"ART003086585",1,118,"비자살적 자해 청소년의 개인 미술치료 질적 사례연구","이승정;신형미;천세나;정여주",2024,"등재","심리과학"
"ART003091062",1,119,"남자 청소년의 자해 경험에 관한 현상학적 연구","김동례;장수미",2024,"등재","사회복지학"
"ART003094035",1,120,"학교 밖 청소년의 비자살적 자해와 자살생각에 따른 잠재계층 분류 및 영향요인","김동현;신나은",2024,"등재","청소년복지"
"ART003102852",1,121,"후기청소년이 지각한 정서 무효화와 자해 간의 관계: 스트레스의 매개효과를 중심으로","유안나;신성만",2024,"등재","기타사회과학"
"ART003108400",1,122,"임상군 청소년의 반복적인 자해 경험에 대한 연구","이윤주;이계성",2024,"등재","학제간연구"
"ART003109119",1,123,"청소년의 스트레스가 자해행동에 미치는 영향: 사회적 지지에 의한 불안의 조절된 매개효과","박영숙;유주영",2024,"등재","학제간연구"
"ART003109234",1,124,"청소년 자해 보호요인 연구: 생물심리사회적 관점에서 자해 및 자살행동 경험이 있는 청소년 인식을 중심으로","양모현;박효은;이동훈;이화정",2024,"등재","학교/교육심리"
"ART003114199",1,125,"청소년의 정서적 학대 경험과 비자살적 자해의 관계: 자기체계손상과 정서조절곤란의 매개효과","김명진;하정희",2024,"등재","교육학"
"ART003116301",1,126,"청소년이 지각한 스트레스와 학교적응의 관계에서 자아존중감 불안의 매개효과 : 자해 비자해 집단 비교","김영화;최진아",2024,"등재","상담심리/심리치료"
"ART003118190",1,127,"사이버폭력 실태 및 피해자 보호 강화 방안 - 사이버 불링(Cyber-bullying)을 중심으로 -","신혜진",2024,"등재","형사정책"
"ART003120037",1,128,"청소년 자살 위험요인: 생물심리사회모델에 기반한 델파이 연구","김성연;이보라;이주영;이동훈",2024,"등재","심리과학"
"ART003120111",1,129,"자살 청소년 지인들의 경험을 통해 살펴본 청소년 자살 위험요인에 관한 질적 연구","이상하;경서하;이동훈",2024,"등재","심리과학"
"ART003121927",1,130,"청소년의 부적응적 완벽주의와 비자살적 자해의 관계에서 자기자비와 자기비판의 매개효과","이정훈;장은비",2024,"등재","기타사회과학"
"ART003134476",1,131,"자해의 원인과 해석에 관한 연구 : 청소년 자해동기요인을 중심으로","한정석;이세온",2024,"등재","학제간연구"
"ART003135534",1,132,"복합외상이 비자살적 자해에 미치는 영향: 정서조절곤란의 매개효과와 매개변인의 하위요인 탐색","이정민",2024,"등재","상담심리/심리치료"
"ART003137901",1,133,"학생의 마음건강 향상을 위한 학교 기반 통합지원체계 개관: 심리학자의 역할과 방향 제안","어유경;도례미;강지현",2024,NA,"심리과학"
"ART003140151",1,134,"생물심리사회이론에 기반한 자해의 위험요인 연구: 청소년 관점을 중심으로","양모현;이보라;이동훈;이화정",2024,"등재","심리과학"
"ART003140158",1,135,"코로나-19 이전, 도중 및 이후 청소년과 초기성인의 자해 행동 추이: 텍스트마이닝 접근","김서영;정의정;엄태윤;이동귀",2024,"등재","심리과학"
"ART003140159",1,136,"미디어와 주변인을 통해 접한 자해 경험이 청소년 자해 및 자살행동에 미치는 영향","이보라;김성연;이동훈",2024,"등재","심리과학"
"ART003141960",1,137,"청소년의 성별에 따른 부모양육태도 하위요인과 자해 간의 관계에 관한 연구","정규형;김이슬;이미영;우현재",2024,"등재","사회과학일반"
"ART003148672",1,138,"청소년의 비행경험이 자해행동에 미치는 영향: 우울에 의한 부정적 자아인식의 조절된 매개효과","박영숙;유주영",2024,"등재","학제간연구"
"ART003153128",1,139,"청소년의 일상생활 스트레스가 비자살적 자해에 미치는 영향에서 한부모가정 여부에 따른 불안의 조절된 매개효과","이래혁",2024,"등재","스트레스생리학"
"ART003159229",1,140,"나일락(樂) 프로그램(아동청소년의 자해예방을 위한 초단기간 변증법적 행동치료 기술 훈련)의 나이, 성별, 자해 경험 여부, 프로그램 시행 방법에 따른 효과성 분석","이제정;정승원;신철규;김현정;박선규;노인영;이종국;오근;서희영",2024,"등재","정신신체의학/자문조정정신의학"
"ART003159742",1,141,"청소년 위기수준 결정, 위기결과 및 자해행동 유형 분석","박현정;정유라;김미라",2024,"등재","상담심리/심리치료"
"ART003168872",1,142,"전문상담교사가 인식한 비자살적 자해 청소년 상담의 어려움에 관한 개념도 연구","신진경;김희정",2025,"등재","교육학"
"ART003170917",1,143,"중학생과 고등학생의 성별에 따른 위기청소년의 비자살적 자해 예측요인 탐색: 머신러닝 및 네트워크 분석을 활용하여","윤다은;엄연용;송원영",2025,"등재","기타사회과학"
"ART003171612",1,144,"청소년의 자해 경험","염미정;여한구",2024,"등재후보","정신분석학/분석심리학"
"ART003172521",1,145,"미술치료사의 비자살적 자해 청소년 미술치료 경험에 관한 질적 연구","안수진;박은선",2025,"등재","심리과학"
"ART003173543",1,146,"아동·청소년 성폭력 피해자 영상녹화물의 증거능력 특례 법개정론 - 2차피해로부터 피해자 보호와 피고인 방어권 보장의 정당한 균형 검토 -","김한균",2025,"등재","형사정책"
"ART003174368",1,147,"비 자살적 자해가 자살 위험성에 미치는 영향: ADHD와 수면량의 조절된 조절 효과","최한나;임나영",2025,"등재","학제간연구"
"ART003178165",1,148,"청소년의 자해 과정 및 멈춤 과정에 대한 질적연구","임재연",2025,"등재","교육학일반"
"ART003184842",1,149,"부모의 심리적 통제가 청소년의 비자살적 자해에 미치는 영향: 정서인식명확성과 인지적 회피의 이중매개효과","이주연;김정민",2025,"등재","기타사회과학"
"ART003186068",1,150,"청소년의 비자살적 자해가 자살위험성에 미치는 영향에서 보호요인의 조절효과: 성별 비교를 중심으로","유지희",2025,"등재","사회복지학"
"ART003194659",1,151,"SNS모방충동이 자해의도에 미치는 영향:  청소년 자해동기요인을 중심으로","이세온;이정민;한정석",2025,"등재","경찰행정"
"ART003197611",1,152,"청소년이 지각한 부모-자녀 간 의사소통이 자해 행동에  미치는 영향: 인지적 정서 조절의 매개효과를 중심으로","이옥순;김규리",2025,"등재","교과교육학"
"ART003202764",1,153,"청소년 내담자의 자해 행동에 대한  여성청소년동반자의 체험분석","박은향",2025,"등재","교과교육학"
"ART003206520",1,154,"마음건강 증진을 위한 도덕교육 방안 연구 -비자살적 자해 예방을 중심으로-","권재은",2025,"등재","교육학"
"ART003212221",1,155,"감정표현불능증이 청소년의 비자살적 자해에 미치는 영향: 부모에 의한 학대경험의 조절효과","박상미",2021,"미등재","상담심리/심리치료"
"ART003212283",1,156,"비자살적 자해와 자살의 유사성, 차별성, 연속성에 관한 질적연구: 학교상담자의 경험을 기반으로","김성연;박효은;이보라;이동훈",2025,NA,"심리과학"
"ART003218395",1,157,"청소년의 주의력결핍 과잉행동과 비자살적 자해의 관계에서 학교부적응의 매개효과: 성별 비교","하수정;홍유나;김한솔",2025,"등재","청소년복지"
"ART003218547",1,158,"중학생의 대인관계스트레스와 비자살적자해와의  관계에서 반추의 매개효과","김윤정;김윤희",2025,"등재","교과교육학"
"ART003222531",1,159,"청소년상담자용 자해상담 역량 척도 개발 및 타당화","김지연;유현실",2025,"등재","교육학"
"ART003222538",1,160,"청소년의 정서적 학대경험과 비자살적 자해신념의 관계: 단절․거절도식과 자해에 대한 사회적 노출의 조절된 매개효과","양정인;이동형",2025,"등재","교육학"
"ART003225565",1,161,"고립ㆍ은둔 청년의 자살 및 자해 생각에 영향을 미치는 요인","권혜림",2025,"등재","사회과학일반"
"ART003225738",1,162,"청소년의 학교생활 스트레스가 비자살적 자해에 미치는 영향: 정서조절곤란의 매개효과","허정연;성경주",2025,"등재","기타예술체육"
"ART003228040",1,163,"청소년 비자살적 자해(NSSI)에 대한 기독교 병리학적 진단","이은혜;김규보",2025,"등재","목회상담학"
